[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [exec-1]: process started with pid [3307]
[exec-1] [INFO] [1700515612.125088296] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515612.193274761] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515612.193626783] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515612.193968496] [laserdrive]: Range at -90: 16.0
[exec-1] [INFO] [1700515612.194278589] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515612.310422471] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515612.317117363] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515612.317575999] [laserdrive]: Range at -90: 16.0
[exec-1] [INFO] [1700515612.317936779] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515612.391821265] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515612.392326830] [laserdrive]: Range at 90: 0.0
[exec-1] [INFO] [1700515612.392674765] [laserdrive]: Range at -90: 16.0
[exec-1] [INFO] [1700515612.395531303] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515612.447626153] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515612.448091392] [laserdrive]: Range at 90: 3.721250057220459
[exec-1] [INFO] [1700515612.448393900] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515612.448689044] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515612.509965319] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515612.510461207] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515612.511474352] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515612.511854729] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515612.577607618] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515612.578065623] [laserdrive]: Range at 90: 0.0
[exec-1] [INFO] [1700515612.578381998] [laserdrive]: Range at -90: 16.0
[exec-1] [INFO] [1700515612.579557950] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515612.705704244] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515612.706224518] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515612.706556192] [laserdrive]: Range at -90: 16.0
[exec-1] [INFO] [1700515612.707288220] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515612.786700402] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515612.787889650] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515612.788290366] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515612.788639322] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515612.835977092] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515612.836564574] [laserdrive]: Range at 90: 0.0
[exec-1] [INFO] [1700515612.836870329] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515612.837167987] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515612.904098642] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515612.904552950] [laserdrive]: Range at 90: 0.0
[exec-1] [INFO] [1700515612.904899192] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515612.905226246] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515613.073798209] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515613.074210307] [laserdrive]: Range at 90: 3.7209999561309814
[exec-1] [INFO] [1700515613.074506292] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515613.074834659] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515613.098894394] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515613.099865460] [laserdrive]: Range at 90: 3.723750114440918
[exec-1] [INFO] [1700515613.100225327] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515613.100538545] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515613.167746635] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515613.168098528] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515613.168435722] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515613.168779158] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515613.234977428] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515613.238978257] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515613.239392218] [laserdrive]: Range at -90: 16.0
[exec-1] [INFO] [1700515613.239714294] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515613.359777485] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515613.360499685] [laserdrive]: Range at 90: 0.0
[exec-1] [INFO] [1700515613.360939556] [laserdrive]: Range at -90: 16.0
[exec-1] [INFO] [1700515613.361263023] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515613.433635745] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515613.433991325] [laserdrive]: Range at 90: 0.0
[exec-1] [INFO] [1700515613.434282702] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515613.434637910] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515613.494644797] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515613.496574428] [laserdrive]: Range at 90: 0.6552500128746033
[exec-1] [INFO] [1700515613.496950297] [laserdrive]: Range at -90: 16.0
[exec-1] [INFO] [1700515613.497294273] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515613.558428148] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515613.559962569] [laserdrive]: Range at 90: 3.726249933242798
[exec-1] [INFO] [1700515613.560308740] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515613.560642699] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515613.692506361] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515613.698182080] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515613.701375025] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515613.705624521] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515613.751761571] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515613.752220608] [laserdrive]: Range at 90: 0.0
[exec-1] [INFO] [1700515613.752529909] [laserdrive]: Range at -90: 16.0
[exec-1] [INFO] [1700515613.753249564] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515613.817673244] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515613.822010051] [laserdrive]: Range at 90: 3.7219998836517334
[exec-1] [INFO] [1700515613.822515246] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515613.822827031] [laserdrive]: Range at 3.1415927410125732: 0.0
